key	values001	values002
Consumer Discretionary	1138683600000	27.3847881
Consumer Discretionary	1141102800000	27.37137722
Consumer Discretionary	1143781200000	26.30991546
Consumer Discretionary	1146369600000	26.42519996
Consumer Discretionary	1149048000000	26.82341152
Consumer Discretionary	1151640000000	23.85044359
Consumer Discretionary	1154318400000	23.15835544
Consumer Discretionary	1156996800000	22.99868939
Consumer Discretionary	1159588800000	27.97712851
Consumer Discretionary	1162270800000	29.07367247
Consumer Discretionary	1164862800000	28.58764041
Consumer Discretionary	1167541200000	22.78845369
Consumer Discretionary	1170219600000	22.42919907
Consumer Discretionary	1172638800000	22.32410327
Consumer Discretionary	1175313600000	17.55838844
Consumer Discretionary	1177905600000	16.7695181
Consumer Discretionary	1180584000000	16.2147382
Consumer Discretionary	1183176000000	18.72963297
Consumer Discretionary	1185854400000	18.81452332
Consumer Discretionary	1188532800000	19.78998645
Consumer Discretionary	1191124800000	17.07004905
Consumer Discretionary	1193803200000	16.12134958
Consumer Discretionary	1196398800000	15.14165943
Consumer Discretionary	1199077200000	17.17538803
Consumer Discretionary	1201755600000	17.28659244
Consumer Discretionary	1204261200000	16.32314163
Consumer Discretionary	1206936000000	19.23126377
Consumer Discretionary	1209528000000	18.44625639
Consumer Discretionary	1212206400000	17.8226324
Consumer Discretionary	1214798400000	15.53936648
Consumer Discretionary	1217476800000	15.25513179
Consumer Discretionary	1220155200000	15.66096392
Consumer Discretionary	1222747200000	13.25448227
Consumer Discretionary	1225425600000	11.9207962
Consumer Discretionary	1228021200000	12.12280909
Consumer Discretionary	1230699600000	15.69102627
Consumer Discretionary	1233378000000	14.72088164
Consumer Discretionary	1235797200000	15.38793936
Consumer Discretionary	1238472000000	13.76543667
Consumer Discretionary	1241064000000	14.63144586
Consumer Discretionary	1243742400000	14.29244654
Consumer Discretionary	1246334400000	16.17007137
Consumer Discretionary	1249012800000	15.94813555
Consumer Discretionary	1251691200000	16.61287269
Consumer Discretionary	1254283200000	18.77833872
Consumer Discretionary	1256961600000	16.75602607
Consumer Discretionary	1259557200000	19.38580444
Consumer Discretionary	1262235600000	22.95059024
Consumer Discretionary	1264914000000	23.61159018
Consumer Discretionary	1267333200000	25.70858699
Consumer Discretionary	1270008000000	26.883916
Consumer Discretionary	1272600000000	25.89348669
Consumer Discretionary	1275278400000	24.67891426
Consumer Discretionary	1277870400000	25.93727579
Consumer Discretionary	1280548800000	29.46138169
Consumer Discretionary	1283227200000	27.35732296
Consumer Discretionary	1285819200000	29.05723529
Consumer Discretionary	1288497600000	28.54943419
Consumer Discretionary	1291093200000	28.50635238
Consumer Discretionary	1293771600000	29.44924142
Consumer Discretionary	1296450000000	25.79683817
Consumer Discretionary	1298869200000	28.74014545
Consumer Discretionary	1301544000000	22.09174414
Consumer Discretionary	1304136000000	25.07966255
Consumer Discretionary	1306814400000	23.67490697
Consumer Discretionary	1309406400000	23.41800274
Consumer Discretionary	1312084800000	23.24364414
Consumer Discretionary	1314763200000	31.59185407
Consumer Discretionary	1317355200000	31.49711237
Consumer Discretionary	1320033600000	26.67238082
Consumer Discretionary	1322629200000	27.29708002
Consumer Discretionary	1325307600000	20.17431553
Consumer Discretionary	1327986000000	19.63108421
Consumer Discretionary	1330491600000	20.36646222
Consumer Discretionary	1333166400000	17.42901994
Consumer Discretionary	1335758400000	16.75543634
Consumer Discretionary	1338436800000	16.18290691
Consumer Staples	1138683600000	7.280012204
Consumer Staples	1141102800000	7.11877875
Consumer Staples	1143781200000	8.351887016
Consumer Staples	1146369600000	8.415669876
Consumer Staples	1149048000000	8.16732986
Consumer Staples	1151640000000	5.513244713
Consumer Staples	1154318400000	6.115253771
Consumer Staples	1156996800000	6.076765092
Consumer Staples	1159588800000	4.63044738
Consumer Staples	1162270800000	4.630106847
Consumer Staples	1164862800000	4.346665631
Consumer Staples	1167541200000	6.830104897
Consumer Staples	1170219600000	7.24163304
Consumer Staples	1172638800000	7.143237205
Consumer Staples	1175313600000	10.60894206
Consumer Staples	1177905600000	10.91496455
Consumer Staples	1180584000000	10.93322388
Consumer Staples	1183176000000	8.345752485
Consumer Staples	1185854400000	8.107841308
Consumer Staples	1188532800000	8.269718592
Consumer Staples	1191124800000	8.474243648
Consumer Staples	1193803200000	8.499460118
Consumer Staples	1196398800000	8.738731968
Consumer Staples	1199077200000	6.882918361
Consumer Staples	1201755600000	6.984133638
Consumer Staples	1204261200000	7.086013604
Consumer Staples	1206936000000	4.396178796
Consumer Staples	1209528000000	3.869967437
Consumer Staples	1212206400000	3.692892524
Consumer Staples	1214798400000	6.757171889
Consumer Staples	1217476800000	6.436731336
Consumer Staples	1220155200000	6.404844152
Consumer Staples	1222747200000	5.464383324
Consumer Staples	1225425600000	5.315078683
Consumer Staples	1228021200000	5.301127261
Consumer Staples	1230699600000	4.120360143
Consumer Staples	1233378000000	4.08817832
Consumer Staples	1235797200000	4.192866596
Consumer Staples	1238472000000	7.024941566
Consumer Staples	1241064000000	7.006530881
Consumer Staples	1243742400000	6.994835633
Consumer Staples	1246334400000	6.122022234
Consumer Staples	1249012800000	6.117743614
Consumer Staples	1251691200000	6.141339623
Consumer Staples	1254283200000	4.804600615
Consumer Staples	1256961600000	4.664760066
Consumer Staples	1259557200000	4.544865006
Consumer Staples	1262235600000	6.048824932
Consumer Staples	1264914000000	6.318866954
Consumer Staples	1267333200000	6.587395826
Consumer Staples	1270008000000	6.228118984
Consumer Staples	1272600000000	5.894891575
Consumer Staples	1275278400000	5.596732048
Consumer Staples	1277870400000	0.997844321
Consumer Staples	1280548800000	1.095079418
Consumer Staples	1283227200000	0.944797344
Consumer Staples	1285819200000	1.222093989
Consumer Staples	1288497600000	1.335093107
Consumer Staples	1291093200000	1.33025651
Consumer Staples	1293771600000	1.340824671
Consumer Staples	1296450000000	0
Consumer Staples	1298869200000	0
Consumer Staples	1301544000000	0
Consumer Staples	1304136000000	0
Consumer Staples	1306814400000	0
Consumer Staples	1309406400000	0
Consumer Staples	1312084800000	0
Consumer Staples	1314763200000	0
Consumer Staples	1317355200000	4.458369232
Consumer Staples	1320033600000	3.649304335
Consumer Staples	1322629200000	3.861006409
Consumer Staples	1325307600000	5.514480069
Consumer Staples	1327986000000	5.175069522
Consumer Staples	1330491600000	5.671006695
Consumer Staples	1333166400000	8.565846159
Consumer Staples	1335758400000	8.613544771
Consumer Staples	1338436800000	8.023146093
Energy	1138683600000	1.544303464
Energy	1141102800000	1.438728943
Energy	1143781200000	0
Energy	1146369600000	0
Energy	1149048000000	0
Energy	1151640000000	1.328626801
Energy	1154318400000	1.28740508
Energy	1156996800000	1.087274311
Energy	1159588800000	0.960425626
Energy	1162270800000	0.931393729
Energy	1164862800000	0.944321673
Energy	1167541200000	1.277750166
Energy	1170219600000	1.220489389
Energy	1172638800000	1.207489123
Energy	1175313600000	1.249065141
Energy	1177905600000	1.259312991
Energy	1180584000000	1.373329808
Energy	1183176000000	0
Energy	1185854400000	0
Energy	1188532800000	0
Energy	1191124800000	0
Energy	1193803200000	0
Energy	1196398800000	0
Energy	1199077200000	0
Energy	1201755600000	0
Energy	1204261200000	0
Energy	1206936000000	0
Energy	1209528000000	0
Energy	1212206400000	0
Energy	1214798400000	0
Energy	1217476800000	0
Energy	1220155200000	0
Energy	1222747200000	1.451610893
Energy	1225425600000	1.185602527
Energy	1228021200000	1.343047036
Energy	1230699600000	2.275259535
Energy	1233378000000	2.403156001
Energy	1235797200000	2.082243073
Energy	1238472000000	1.564090283
Energy	1241064000000	1.581287397
Energy	1243742400000	1.946244855
Energy	1246334400000	2.946487022
Energy	1249012800000	3.074469938
Energy	1251691200000	2.942230463
Energy	1254283200000	2.75030756
Energy	1256961600000	2.65067018
Energy	1259557200000	2.800542532
Energy	1262235600000	2.681618497
Energy	1264914000000	2.681206271
Energy	1267333200000	2.819548801
Energy	1270008000000	0
Energy	1272600000000	0
Energy	1275278400000	0
Energy	1277870400000	1.068705735
Energy	1280548800000	1.253940054
Energy	1283227200000	1.186296945
Energy	1285819200000	0
Energy	1288497600000	0
Energy	1291093200000	0
Energy	1293771600000	0
Energy	1296450000000	1.941972859
Energy	1298869200000	2.11422477
Energy	1301544000000	2.378859021
Energy	1304136000000	2.533730288
Energy	1306814400000	2.31633704
Energy	1309406400000	2.064545184
Energy	1312084800000	2.100444667
Energy	1314763200000	3.63018758
Energy	1317355200000	2.454204665
Energy	1320033600000	2.196082371
Energy	1322629200000	2.335841826
Energy	1325307600000	0
Energy	1327986000000	0
Energy	1330491600000	0
Energy	1333166400000	0.39001201
Energy	1335758400000	0.309454727
Energy	1338436800000	0.310624393
Financials	1138683600000	13.35677876
Financials	1141102800000	13.61119686
Financials	1143781200000	6.895903006
Financials	1146369600000	6.993963327
Financials	1149048000000	6.724151026
Financials	1151640000000	5.561129367
Financials	1154318400000	5.608648871
Financials	1156996800000	5.496284991
Financials	1159588800000	6.919315317
Financials	1162270800000	7.001633439
Financials	1164862800000	6.786542244
Financials	1167541200000	9.000645423
Financials	1170219600000	9.223391617
Financials	1172638800000	8.892931601
Financials	1175313600000	10.34593752
Financials	1177905600000	10.07591468
Financials	1180584000000	10.08900619
Financials	1183176000000	10.5983303
Financials	1185854400000	9.968954653
Financials	1188532800000	9.77405802
Financials	1191124800000	10.55848306
Financials	1193803200000	9.931465182
Financials	1196398800000	9.399771587
Financials	1199077200000	8.408649339
Financials	1201755600000	8.969830909
Financials	1204261200000	8.2778358
Financials	1206936000000	8.85850456
Financials	1209528000000	8.701375641
Financials	1212206400000	7.793360547
Financials	1214798400000	7.023618348
Financials	1217476800000	6.987308819
Financials	1220155200000	6.803171307
Financials	1222747200000	6.686953132
