key;values001;values002
Consumer Discretionary;31/01/2006;27.3847881
Consumer Discretionary;28/02/2006;27.37137722
Consumer Discretionary;31/03/2006;26.30991546
Consumer Discretionary;29/04/2006;26.42519996
Consumer Discretionary;30/05/2006;26.82341152
Consumer Discretionary;29/06/2006;23.85044359
Consumer Discretionary;30/07/2006;23.15835544
Consumer Discretionary;30/08/2006;22.99868939
Consumer Discretionary;29/09/2006;27.97712851
Consumer Discretionary;31/10/2006;29.07367247
Consumer Discretionary;30/11/2006;28.58764041
Consumer Discretionary;31/12/2006;22.78845369
Consumer Discretionary;31/01/2007;22.42919907
Consumer Discretionary;28/02/2007;22.32410327
Consumer Discretionary;30/03/2007;17.55838844
Consumer Discretionary;29/04/2007;16.7695181
Consumer Discretionary;30/05/2007;16.2147382
Consumer Discretionary;29/06/2007;18.72963297
Consumer Discretionary;30/07/2007;18.81452332
Consumer Discretionary;30/08/2007;19.78998645
Consumer Discretionary;29/09/2007;17.07004905
Consumer Discretionary;30/10/2007;16.12134958
Consumer Discretionary;30/11/2007;15.14165943
Consumer Discretionary;31/12/2007;17.17538803
Consumer Discretionary;31/01/2008;17.28659244
Consumer Discretionary;29/02/2008;16.32314163
Consumer Discretionary;30/03/2008;19.23126377
Consumer Discretionary;29/04/2008;18.44625639
Consumer Discretionary;30/05/2008;17.8226324
Consumer Discretionary;29/06/2008;15.53936648
Consumer Discretionary;30/07/2008;15.25513179
Consumer Discretionary;30/08/2008;15.66096392
Consumer Discretionary;29/09/2008;13.25448227
Consumer Discretionary;30/10/2008;11.9207962
Consumer Discretionary;30/11/2008;12.12280909
Consumer Discretionary;31/12/2008;15.69102627
Consumer Discretionary;31/01/2009;14.72088164
Consumer Discretionary;28/02/2009;15.38793936
Consumer Discretionary;30/03/2009;13.76543667
Consumer Discretionary;29/04/2009;14.63144586
Consumer Discretionary;30/05/2009;14.29244654
Consumer Discretionary;29/06/2009;16.17007137
Consumer Discretionary;30/07/2009;15.94813555
Consumer Discretionary;30/08/2009;16.61287269
Consumer Discretionary;29/09/2009;18.77833872
Consumer Discretionary;30/10/2009;16.75602607
Consumer Discretionary;30/11/2009;19.38580444
Consumer Discretionary;31/12/2009;22.95059024
Consumer Discretionary;31/01/2010;23.61159018
Consumer Discretionary;28/02/2010;25.70858699
Consumer Discretionary;30/03/2010;26.883916
Consumer Discretionary;29/04/2010;25.89348669
Consumer Discretionary;30/05/2010;24.67891426
Consumer Discretionary;29/06/2010;25.93727579
Consumer Discretionary;30/07/2010;29.46138169
Consumer Discretionary;30/08/2010;27.35732296
Consumer Discretionary;29/09/2010;29.05723529
Consumer Discretionary;30/10/2010;28.54943419
Consumer Discretionary;30/11/2010;28.50635238
Consumer Discretionary;31/12/2010;29.44924142
Consumer Discretionary;31/01/2011;25.79683817
Consumer Discretionary;28/02/2011;28.74014545
Consumer Discretionary;30/03/2011;22.09174414
Consumer Discretionary;29/04/2011;25.07966255
Consumer Discretionary;30/05/2011;23.67490697
Consumer Discretionary;29/06/2011;23.41800274
Consumer Discretionary;30/07/2011;23.24364414
Consumer Discretionary;30/08/2011;31.59185407
Consumer Discretionary;29/09/2011;31.49711237
Consumer Discretionary;30/10/2011;26.67238082
Consumer Discretionary;30/11/2011;27.29708002
Consumer Discretionary;31/12/2011;20.17431553
Consumer Discretionary;31/01/2012;19.63108421
Consumer Discretionary;29/02/2012;20.36646222
Consumer Discretionary;30/03/2012;17.42901994
Consumer Discretionary;29/04/2012;16.75543634
Consumer Discretionary;30/05/2012;16.18290691
Consumer Staples;31/01/2006;7.280012204
Consumer Staples;28/02/2006;7.11877875
Consumer Staples;31/03/2006;8.351887016
Consumer Staples;29/04/2006;8.415669876
Consumer Staples;30/05/2006;8.16732986
Consumer Staples;29/06/2006;5.513244713
Consumer Staples;30/07/2006;6.115253771
Consumer Staples;30/08/2006;6.076765092
Consumer Staples;29/09/2006;4.63044738
Consumer Staples;31/10/2006;4.630106847
Consumer Staples;30/11/2006;4.346665631
Consumer Staples;31/12/2006;6.830104897
Consumer Staples;31/01/2007;7.24163304
Consumer Staples;28/02/2007;7.143237205
Consumer Staples;30/03/2007;10.60894206
Consumer Staples;29/04/2007;10.91496455
Consumer Staples;30/05/2007;10.93322388
Consumer Staples;29/06/2007;8.345752485
Consumer Staples;30/07/2007;8.107841308
Consumer Staples;30/08/2007;8.269718592
